wucha_min_ceil,count,mean,std,min,25%,50%,75%,max
-14701,1.0,10005633031.0,,10005633031.0,10005633031.0,10005633031.0,10005633031.0,10005633031.0
-4004,1.0,10008674984.0,,10008674984.0,10008674984.0,10008674984.0,10008674984.0,10008674984.0
-1752,1.0,10021931909.0,,10021931909.0,10021931909.0,10021931909.0,10021931909.0,10021931909.0
-1641,1.0,10021415707.0,,10021415707.0,10021415707.0,10021415707.0,10021415707.0,10021415707.0
-1337,9.0,10022929758.88889,5405.781244289405,10022923528.0,10022926093.0,10022928378.0,10022932469.0,10022938534.0
-1331,10.0,10023891568.8,4073.8930275597563,10023885070.0,10023890391.5,10023891489.0,10023893119.75,10023898840.0
-1321,1.0,10023010257.0,,10023010257.0,10023010257.0,10023010257.0,10023010257.0,10023010257.0
-1300,1.0,10023120378.0,,10023120378.0,10023120378.0,10023120378.0,10023120378.0,10023120378.0
-1240,1.0,10023454223.0,,10023454223.0,10023454223.0,10023454223.0,10023454223.0,10023454223.0
-1203,1.0,10022205726.0,,10022205726.0,10022205726.0,10022205726.0,10022205726.0,10022205726.0
-1090,1.0,10022542430.0,,10022542430.0,10022542430.0,10022542430.0,10022542430.0,10022542430.0
-1071,1.0,10022657733.0,,10022657733.0,10022657733.0,10022657733.0,10022657733.0,10022657733.0
-1067,1.0,10024504736.0,,10024504736.0,10024504736.0,10024504736.0,10024504736.0,10024504736.0
-961,4.0,10022528630.25,747736.6350047656,10021783880.0,10021944100.25,10022524310.5,10023108840.5,10023282020.0
-960,22.0,10021657888.818182,1095086.7208171075,10019940601.0,10020702535.25,10021794586.0,10021958195.75,10023232708.0
-758,8.0,10022159421.125,5138.515445354121,10022150524.0,10022155766.0,10022161247.0,10022163005.5,10022164979.0
-724,12.0,10024958787.916666,6518.987197666009,10024948640.0,10024953044.75,10024961345.5,10024963681.5,10024966738.0
-496,200.0,10027136538.94,4510.895568570928,10027128741.0,10027134433.5,10027137137.5,10027139479.5,10027142106.0
-495,1.0,10023646354.0,,10023646354.0,10023646354.0,10023646354.0,10023646354.0,10023646354.0
-490,1372.0,10026689509.962828,981245.3825036291,10024284640.0,10025890831.5,10026540826.5,10027401851.5,10028880691.0
-489,60.0,10025051466.583334,1449858.914661223,10023848154.0,10024080974.5,10024322186.0,10025879045.75,10028830479.0
-488,70.0,10024485234.071428,1103720.7904111862,10023847881.0,10023979934.75,10024107903.5,10024324091.75,10028044565.0
-487,18.0,10025724322.555555,2023482.023848443,10022857876.0,10024000326.5,10026838211.5,10027306174.75,10028078487.0
-486,4.0,10024005855.25,15371.735954341657,10023987597.0,10023996149.25,10024007423.0,10024017129.0,10024020978.0
-485,1.0,10024005988.0,,10024005988.0,10024005988.0,10024005988.0,10024005988.0,10024005988.0
-484,1.0,10024014599.0,,10024014599.0,10024014599.0,10024014599.0,10024014599.0,10024014599.0
-480,69.0,10027902067.028986,381741.3226366149,10027254817.0,10027539718.0,10027832348.0,10027846991.0,10028520005.0
-479,8.0,10023236781.375,8236.430467094693,10023230779.0,10023232727.5,10023233059.5,10023236627.25,10023255680.0
-478,20.0,10027558637.95,2230423.193438446,10023226718.0,10028478184.0,10028695148.0,10028695903.0,10028697284.0
-476,24.0,10022923869.125,281682.76247322786,10022647457.0,10022648334.75,10022923844.0,10023199367.5,10023200395.0
-475,3.0,10024652340.666666,2458272.2870451785,10023233055.0,10023233056.5,10023233058.0,10025361983.5,10027490909.0
-474,161.0,10027246458.956522,1537473.1056114663,10022507888.0,10027087228.0,10027469455.0,10028376844.0,10028694545.0
-473,1.0,10028688045.0,,10028688045.0,10028688045.0,10028688045.0,10028688045.0,10028688045.0
-472,2.0,10026007954.5,3972348.4129039464,10023199080.0,10024603517.25,10026007954.5,10027412391.75,10028816829.0
-471,12.0,10023227761.0,271.19432817882387,10023227536.0,10023227541.75,10023227544.5,10023228066.75,10023228072.0
-465,4.0,10022495254.5,6260.70765435772,10022487383.0,10022492741.75,10022495535.0,10022498047.75,10022502565.0
-464,1.0,10027167179.0,,10027167179.0,10027167179.0,10027167179.0,10027167179.0,10027167179.0
-456,4.0,10025335508.75,12569.870255893655,10025324565.0,10025324676.75,10025335123.0,10025345955.0,10025347224.0
-455,320.0,10025742329.528126,1764853.301647,10022478391.0,10024306832.5,10025935028.0,10027030669.25,10029060519.0
-454,123.0,10025543890.008131,1748972.556095306,10022480785.0,10024082026.0,10025627965.0,10026911504.5,10028995348.0
-453,403.0,10025738367.019852,1808664.8447634552,10022488609.0,10024230388.5,10025795735.0,10027162073.0,10029089131.0
-452,21.0,10026328576.428572,1834674.8276399164,10023531025.0,10025079727.0,10026164126.0,10027950387.0,10028914697.0
-450,45.0,10025672327.866667,2173232.2709621177,10023317119.0,10023318439.0,10025008890.0,10028816238.0,10029101128.0
-449,12.0,10025794607.75,1531393.7899221757,10025008505.0,10025008896.25,10025175945.5,10025342516.5,10029106942.0
-448,6.0,10028278164.5,321186.7577561379,10027633347.0,10028333349.0,10028395175.5,10028428497.5,10028492944.0
-447,3.0,10028644723.0,416561.1590306998,10028325895.0,10028409063.5,10028492232.0,10028804137.0,10029116042.0
-446,1.0,10028960105.0,,10028960105.0,10028960105.0,10028960105.0,10028960105.0,10028960105.0
-445,1.0,10022648056.0,,10022648056.0,10022648056.0,10022648056.0,10022648056.0,10022648056.0
-444,16.0,10025334651.875,9522.085765034186,10025325337.0,10025325488.5,10025334166.0,10025344104.75,10025344530.0
-443,4.0,10022648049.75,4.112987559751022,10022648045.0,10022648048.0,10022648049.5,10022648051.25,10022648055.0
-440,1.0,10022648315.0,,10022648315.0,10022648315.0,10022648315.0,10022648315.0,10022648315.0
-415,3.0,10025230671.0,491213.216492594,10024886208.0,10024949427.5,10025012647.0,10025402902.5,10025793158.0
-413,1.0,10023388218.0,,10023388218.0,10023388218.0,10023388218.0,10023388218.0,10023388218.0
-252,1.0,10027942008.0,,10027942008.0,10027942008.0,10027942008.0,10027942008.0,10027942008.0
-209,1.0,10030248412.0,,10030248412.0,10030248412.0,10030248412.0,10030248412.0,10030248412.0
-155,143.0,10029066109.39161,170284.22865348737,10028913719.0,10028921546.5,10029015215.0,10029210313.5,10029553935.0
-151,12.0,10027908627.666666,216586.929174296,10027442230.0,10028000634.75,10028001542.5,10028001547.5,10028001555.0
-146,1.0,10026103014.0,,10026103014.0,10026103014.0,10026103014.0,10026103014.0,10026103014.0
-82,13.0,10024841169.615385,6198.681560601705,10024831286.0,10024836223.0,10024842207.0,10024846246.0,10024849584.0
-72,7.0,10025754034.428572,2857.831978799247,10025749463.0,10025752455.0,10025754250.0,10025755940.0,10025757738.0
-61,1.0,10025208388.0,,10025208388.0,10025208388.0,10025208388.0,10025208388.0,10025208388.0
-53,1.0,10026790008.0,,10026790008.0,10026790008.0,10026790008.0,10026790008.0,10026790008.0
-41,1.0,10024788861.0,,10024788861.0,10024788861.0,10024788861.0,10024788861.0,10024788861.0
-40,2.0,10024788303.0,1.4142135623730951,10024788302.0,10024788302.5,10024788303.0,10024788303.5,10024788304.0
-31,646.0,10027510020.964396,1667128.7235614432,10024675560.0,10026166781.25,10027212044.0,10028851820.0,10031065728.0
-30,5.0,10026477397.2,2047613.8003933262,10024813319.0,10025770733.0,10025869683.0,10025881267.0,10030051984.0
-29,1.0,10025973474.0,,10025973474.0,10025973474.0,10025973474.0,10025973474.0,10025973474.0
-28,23.0,10025896235.782608,57951.32044927214,10025801436.0,10025843488.0,10025916313.0,10025943532.5,10025976610.0
-27,31.0,10025673290.67742,121513.64166418713,10025431658.0,10025646332.0,10025710375.0,10025739970.5,10025894432.0
-26,26.0,10025517091.461538,58685.70951857413,10025425507.0,10025472178.5,10025519985.0,10025560057.25,10025611590.0
-25,26.0,10025324845.76923,66025.18868995844,10025208208.0,10025267328.75,10025330186.5,10025389638.25,10025414789.0
-24,24.0,10025080779.541666,88077.99367061937,10024909682.0,10025010381.0,10025085886.5,10025161804.5,10025197797.0
-23,23.0,10026177508.608696,2652928.947335237,10024711172.0,10024773523.5,10024832733.0,10024901743.0,10031121885.0
-22,65.0,10029826983.33846,1082926.2121141565,10026095601.0,10029288076.0,10029348345.0,10030956762.0,10031073994.0
-21,24.0,10030759765.5,74389.48523700166,10030625197.0,10030694875.75,10030770499.5,10030816263.25,10030865057.0
-20,757.0,10029869074.02642,1358404.0572133719,10024757657.0,10030243764.0,10030301366.0,10030629899.0,10031040939.0
-19,130.0,10030030295.430769,1229443.8296959423,10025896860.0,10030246806.75,10030406581.5,10030712389.0,10031127062.0
-18,37.0,10030119527.405405,116786.91296698812,10029951646.0,10030031944.0,10030089604.0,10030167642.0,10030350332.0
-17,59.0,10029309289.457626,1308470.190897493,10025368073.0,10029684244.5,10029807915.0,10029912035.0,10030324827.0
-16,38.0,10029005485.868422,1588189.4230142317,10025414474.0,10029434516.0,10029536076.5,10029631547.0,10030236277.0
-15,401.0,10028269622.718204,1849064.9689079465,10024747763.0,10026652232.0,10028734035.0,10029836667.0,10031155200.0
-14,156.0,10029502842.942308,1512203.8365653993,10024840167.0,10028940679.5,10029702265.5,10030861182.25,10031058257.0
-13,30.0,10028950042.2,516276.1423265788,10028643481.0,10028698593.0,10028766516.0,10028850272.5,10030236485.0
-12,25.0,10028516268.96,64706.43214194398,10028406196.0,10028461060.0,10028522622.0,10028567996.0,10028621114.0
-11,99.0,10027876991.575758,1253393.304983675,10024768579.0,10027247699.5,10028226522.0,10028342528.5,10031020875.0
-10,11705.0,10028586868.617172,1566847.249712973,10024767189.0,10027693255.0,10028691224.0,10029804905.0,10031169300.0
-9,11932.0,10028266428.511734,1925884.920027479,10024769292.0,10026500983.75,10028253513.5,10030118470.75,10031179365.0
-8,7740.0,10027954587.290827,1781161.5463142893,10024772389.0,10026463964.75,10027698200.0,10029465553.75,10031180312.0
-7,16521.0,10026873018.992071,1679191.1972167264,10024777521.0,10025596108.0,10026377217.0,10027281362.0,10031179075.0
-6,4442.0,10027897743.221746,1834555.0900757262,10024781270.0,10026183819.5,10027733018.5,10029421185.25,10031185734.0
-5,8334.0,10027549963.62407,1979426.7463968731,10024788541.0,10025590172.5,10027326702.0,10029526417.75,10031193577.0
-4,26838.0,10027899731.7644,1717476.6122368353,10024788514.0,10026403040.75,10027953340.0,10029194314.5,10031198170.0
-3,232580.0,10028353436.24058,1708429.6079564418,10024791603.0,10026946560.75,10028453657.0,10029843591.25,10031200788.0
-2,22333.0,10028069021.425425,1603211.2180335538,10024796603.0,10026916093.0,10027909467.0,10029343746.0,10031203046.0
-1,269277.0,10027938662.105675,1865385.1920184616,10024802778.0,10026339784.0,10027782673.0,10029609566.0,10031209207.0
0,228906.0,10027647195.830118,1977521.529792886,9863867115.0,10026000464.25,10027335575.5,10029286421.25,10031209248.0
1,4146170.0,10028048853.334518,1863857.3466852705,9654470780.0,10026457742.25,10028070920.5,10029646314.75,10031212935.0
2,433152.0,10028048746.9662,1821391.5446122861,10023874428.0,10026520439.75,10027999397.5,10029663040.25,10031216948.0
3,122501.0,10026993649.534323,1858418.5164633512,10024820460.0,10025330378.0,10026347102.0,10028418430.0,10031221249.0
4,52621.0,10027796260.866537,2007569.3241446235,10024824998.0,10025887907.0,10027778353.0,10029775100.0,10031225623.0
5,245377.0,10027935493.202879,1825022.4961746722,10024017150.0,10026330091.0,10027858238.0,10029477185.0,10031234073.0
6,25092.0,10027123991.288897,2126488.2725986363,10024847075.0,10025087012.25,10026341659.0,10029043207.25,10031237568.0
7,12889.0,10027397479.714563,2054969.0126905558,10024859864.0,10025129006.0,10027132163.0,10029618762.0,10031241423.0
