映射方式,专业ID,厂家ID,设备类型ID,告警对象类型ID,告警标题,厂家告警ID,告警解析辅助字段,厂家告警级别,适用的厂家版本号,告警类型,层速率,设备单板,网管告警级别,网管告警ID,告警解释,告警逻辑分类,告警逻辑子类,该事件对设备的影响,该事件对业务的影响,告警标准名,业务类型,业务信息,是否与对端网元相关,是否上报集团,告警唯一标识,发生时间,清除时间,省,地市ID,区县,网元名称,网元ID,告警定位对象名称,告警定位对象ID,定位信息,告警清除状态,网管告警流水号,设备类型名称,厂家,timestamp,告警发生与清除的时间差,告警标题出现次数
标准,6,5,1403,32282,AMBIENT_TEMP_OVER,1-13670,,2,U2000V2R16,设备原始告警,速率无关,,2,0403-007-033-10-000540,环境温度越限,设备,硬件,可能设备局部故障,可能业务受影响,环境温度越限,,,否,否,UN-U2000-22-P_67217190,2019-09-14 00:01:24,2019-09-14 00:15:24,湖南省,2014,,1114475,,1114475,,UN-U2000-22-P:1114475:/rack=1/shelf=1/sub_shelf=29,已清除,2091157454,OTN,华为,1568419284,840,1
标准,6,5,1403,32004,ODU_SNCP_PS,1-12541,,2,U2000V2R16,设备原始告警,速率无关,光线路接口板,2,0403-007-033-10-000204,ODU SNCP保护倒换,通信,倒换,可能设备局部故障,可能业务受影响,ODU_SNCP_PS,,,是,否,SHY-U2000-21-P_168940090,2019-09-14 00:03:06,2019-09-14 00:13:07,湖南省,2008,邵东县,26-邵东县移动大楼,,26-邵东县移动大楼-1-0-2-TN53NQ2 (TN5M3NQ201)-4,,SHY-U2000-21-P:589850:/rack=1/shelf=589850/slot=2/domain=wdm/port=4,已清除,2091164454,OTN,华为,1568419386,601,28
标准,1,15,929,929,BASE STATION HARDWARE PROBLEM,71004309,,1,TL18,设备原始告警,,,2,0103-002-006-10-001706,系统模块与射频模块之间的RP3连接或者扩展的基带模块和射频模块之间6Gbps不稳定。,操作维护,操作异常,设备全阻,业务全阻,系统模块与射频模块之间的RP3连接或者扩展的基带模块和射频模块之间6Gbps不稳定。,,,否,否,1003450_10.154.26.177,2019-09-14 00:03:26,2019-09-14 00:14:09,湖南省,2011,溆浦县,huhxpyemingzhuNBNF-AirScale376855PT,,huhxpyemingzhuNBNF-AirScale376855PT,,PLMN-PLMN/MRBTS-376855/EQM_R-1/HWTOP_R-1/CABLINK_R-1002,已清除,2091165332,eNodeB,诺基亚,1568419406,643,5
标准,6,5,1403,32004,ODU_SNCP_PS,1-12541,,2,U2000V2R16,设备原始告警,速率无关,光线路接口板,2,0403-007-033-10-000204,传输告警,通信,倒换,可能设备局部故障,可能业务受影响,ODU_SNCP_PS,,,是,否,LDI-U2000-21-P_103291361,2019-09-14 00:05:10,2019-09-14 00:15:35,湖南省,2007,新化县,16-新化县移动综合楼-HW骨干汇聚1-OTN,,16-新化县移动综合楼-HW骨干汇聚1-OTN-1-2-3-TN13OAU1 (TN13OAU101)-4,,LDI-U2000-21-P:458768:/rack=1/shelf=458768/slot=3/domain=wdm/port=4,已清除,2091171749,OTN,华为,1568419510,625,28
标准,1,1,929,929,Sync Reference Excessive Wander,0,,2,,设备原始告警,,,2,0103-001-006-10-000414,同步参考丢失超过门限,话务处理,中央处理器故障,无影响,无影响,同步参考过度失步,,,否,否,255869612_10.154.21.118,2019-09-14 00:05:11,2019-09-14 00:58:11,湖南省,2013,汨罗市,YUYMLtaolinsanzhongEL-R6601774870PT,,YUYMLtaolinsanzhongEL-R6601774870PT,,"SubNetwork=ONRM_ROOT_MO,SubNetwork=Miluo,MeContext=YUYMLtaolinsanzhongEL-R6601774870PT,ManagedElement=1,TransportNetwork=1,Synchronization=1",已清除,2091171457,eNodeB,中兴,1568419511,3180,4
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,92726938307F2481E05352801DACC921,2019-09-14 00:05:57,2019-09-14 00:21:52,湖南省,2011,,[33]沅陵县舒溪口乡+太常乡塔子界RRUZT,,[33]沅陵县舒溪口乡+太常乡塔子界RRUZT,,,已清除,2091175854,监控设备,鑫天兴,1568419557,955,81
标准,2,15,104,104,FAILURE IN SIGNALLING LINK ACTIVATION OR RESTORATION,2072,,Major,M13/M14/M16,设备原始告警,,,2,0211-002-103-10-000506,信令链路中断,信令与IP,链路故障,设备局部故障,无影响,信令链路中断,,,否,否,162_7199_10.154.199.14,2019-09-14 00:06:38,2019-09-14 00:15:17,湖南省,2000,,CSGS32,,CSGS32,,003D 03 00 01,已清除,2091177214,MSC SERVER,诺基亚,1568419598,519,1
标准,6,6,1402,32004,Smartgroup接口失效告警,596-3504,"Smartgroup接口无法正常工作,比如无法接收发送报文",2,U31,设备原始告警,速率无关,未知,2,0404-008-034-10-001727,传输告警,通信,端口,可能设备局部故障,业务受影响,Smartgroup接口失效告警,,,否,否,HYA-U31-2-P_1566480526848,2019-09-14 00:07:22,2019-09-14 00:16:57,湖南省,2003,石鼓区,衡阳蒸湘区华新移动大楼二楼调度扩二,,衡阳蒸湘区华新移动大楼二楼调度扩二：槽位号=255：端口号=6,,HYA-U31-2-P:340014(P):/rack=0/shelf=1/slot=255/port=124_6,已清除,2091180840,PTN,中兴,1568419642,575,4
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,92727BB2BD3D2A72E05352801DAC1176,2019-09-14 00:10:02,2019-09-14 01:47:13,湖南省,2011,麻阳县,怀化麻阳江溪,,麻阳县江溪无线机房,,,已清除,2091190826,监控设备,鑫天兴,1568419802,5831,81
标准,8,24,6015,6015,一体化设备采集器通信状态告警,,基站,1,无,设备原始告警,,,2,698-076-00-076003,涵盖具备智能设备采集，以及非智能的温度、湿度、火警、门碰、水浸、红外等采集；或者蓄电池采集、视频采集、节能等多种设备的综合采集器通信状态告警。,采集设备通信中断告警,设备局部故障,可能业务受影响,无,一体化设备采集器通信状态告警,,,否,否,92727B1A2A5D9299E05351801DACA4E0,2019-09-14 00:12:47,2019-09-14 02:00:19,湖南省,2008,新宁县,新宁县狮子寨无线机房(olt),,新宁县狮子寨无线机房,,,已清除,2091200281,监控设备,鑫天兴,1568419967,6452,81
