月份,地市,小区ECI,基站ID,小区CI,场景,大数据平台场景,厂家,是否为高负荷待扩容小区,有效栅格数,存在重叠的小区ECI,重叠栅格数,栅格重叠百分比
2018/4/1,XINXIANG,11982337,46806,1,大网,低层居民区,华为,是,536,11979782,121,22.57
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,11984384,70,20.41
2018/4/1,XINXIANG,67209346,262536,130,大网,低层居民区,华为,是,226,67209601,84,37.17
2018/4/1,XINXIANG,64014848,250058,0,大网,高层居民区,华为,是,122,63883264,31,25.41
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,63834626,82,22.65
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,193362818,39,36.45
2018/4/1,XINXIANG,33424641,130565,1,大网,低层居民区,华为,是,144,12356098,51,35.42
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,64014849,48,21.62
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,63883265,71,31.98
2018/4/1,XINXIANG,67209346,262536,130,大网,低层居民区,华为,是,226,67220353,53,23.45
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,235233921,69,41.07
2018/4/1,XINXIANG,12375297,48341,1,大网,低层居民区,华为,是,431,12375302,283,65.66
2018/4/1,XINXIANG,11982337,46806,1,大网,低层居民区,华为,是,536,69116033,167,31.16
2018/4/1,XINXIANG,33424641,130565,1,大网,低层居民区,华为,是,144,64034304,59,40.97
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235166854,87,55.41
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,26880080,87,25.36
2018/4/1,XINXIANG,67196034,262484,130,大网,低层居民区,华为,是,501,60828673,116,23.15
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235282817,36,22.93
2018/4/1,XINXIANG,12331266,48169,2,大网,高层居民区,华为,是,365,69136001,80,21.92
2018/4/1,XINXIANG,235160962,918597,130,大网,低层居民区,华为,是,107,193544321,39,36.45
2018/4/1,XINXIANG,12356097,48266,1,大网,低层居民区,华为,是,347,60841472,107,30.84
2018/4/1,XINXIANG,12331266,48169,2,大网,高层居民区,华为,是,365,12375297,88,24.11
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235166858,39,24.84
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,70875287,25,23.36
2018/4/1,XINXIANG,63899136,249606,0,大网,低层居民区,华为,是,313,63899138,121,38.66
2018/4/1,XINXIANG,63899136,249606,0,大网,低层居民区,华为,是,313,63899137,82,26.2
2018/4/1,XINXIANG,235320192,919219,128,大网,高层居民区,华为,是,275,193538945,80,29.09
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,193333889,58,26.13
2018/4/1,XINXIANG,235166848,918620,128,大网,低层居民区,华为,是,241,11942146,56,23.24
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60831744,268,42.88
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,193383554,136,21.76
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,63883522,79,35.59
2018/4/1,XINXIANG,64060417,250236,1,大网,低层居民区,华为,是,118,1299585,24,20.34
2018/4/1,XINXIANG,193362562,755322,130,大网,低层居民区,华为,是,436,63950337,165,37.84
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,12375304,36,21.43
2018/4/1,XINXIANG,64060417,250236,1,大网,低层居民区,华为,是,118,63847174,69,58.47
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60826369,71,66.36
2018/4/1,XINXIANG,11929345,46599,1,大网,高层居民区,华为,是,92,26878800,30,32.61
2018/4/1,XINXIANG,11929345,46599,1,大网,高层居民区,华为,是,92,11929351,42,45.65
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26977106,24,22.43
2018/4/1,XINXIANG,64060417,250236,1,大网,低层居民区,华为,是,118,63849986,35,29.66
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,64024848,59,37.58
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235255168,32,20.38
2018/4/1,XINXIANG,67196034,262484,130,大网,低层居民区,华为,是,501,67197057,110,21.96
2018/4/1,XINXIANG,235160962,918597,130,大网,低层居民区,华为,是,107,1251716,24,22.43
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,12330753,40,23.81
2018/4/1,XINXIANG,235320192,919219,128,大网,高层居民区,华为,是,275,64029185,128,46.55
2018/4/1,XINXIANG,235166848,918620,128,大网,低层居民区,华为,是,241,63869186,102,42.32
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979409,23,21.5
2018/4/1,XINXIANG,12375297,48341,1,大网,低层居民区,华为,是,431,12331266,88,20.42
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,193381248,46,42.99
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,33424385,178,49.17
2018/4/1,XINXIANG,67239040,262652,128,大网,低层居民区,华为,是,440,67302273,100,22.73
2018/4/1,XINXIANG,60867586,237764,2,大网,低层居民区,华为,是,373,60825344,142,38.07
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,63902209,113,32.94
2018/4/1,XINXIANG,67209346,262536,130,大网,低层居民区,华为,是,226,63963649,56,24.78
2018/4/1,XINXIANG,67239040,262652,128,大网,低层居民区,华为,是,440,63844097,152,34.55
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,12344833,60,56.07
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235166857,69,43.95
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60826371,25,23.36
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,63883266,46,20.72
2018/4/1,XINXIANG,60867586,237764,2,大网,低层居民区,华为,是,373,60867592,103,27.61
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60848897,183,29.28
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,63894273,226,49.78
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,1255042,78,21.55
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60827140,29,27.1
2018/4/1,XINXIANG,60867586,237764,2,大网,低层居民区,华为,是,373,70971776,86,23.06
2018/4/1,XINXIANG,12332290,48173,2,大网,低层居民区,华为,是,106,67227009,40,37.74
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,70924418,37,34.58
2018/4/1,XINXIANG,235320192,919219,128,大网,高层居民区,华为,是,275,33439234,64,23.27
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,64024849,61,38.85
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60826372,62,57.94
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,63894272,105,23.13
2018/4/1,XINXIANG,12356097,48266,1,大网,低层居民区,华为,是,347,12354816,71,20.46
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60831750,139,22.24
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,235295617,37,34.58
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,11947522,126,20.16
2018/4/1,XINXIANG,67209346,262536,130,大网,低层居民区,华为,是,226,193419392,47,20.8
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979418,44,41.12
2018/4/1,XINXIANG,235320192,919219,128,大网,高层居民区,华为,是,275,70861184,117,42.55
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60827141,68,63.55
2018/4/1,XINXIANG,11982337,46806,1,大网,低层居民区,华为,是,536,70866562,111,20.71
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,63937283,83,22.93
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979419,42,39.25
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60824577,25,23.36
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,235166856,78,49.68
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,70885008,44,28.03
