地市,小区ECI,基站ID,小区CI,场景,大数据平台场景,厂家,是否为高负荷待扩容小区
XINXIANG,11929345,46599,1,大网,高层居民区,华为,是
XINXIANG,11982337,46806,1,大网,低层居民区,华为,是
XINXIANG,11982343,46806,7,大网,低层居民区,华为,是
XINXIANG,12330752,48167,0,大网,低层居民区,华为,是
XINXIANG,12331266,48169,2,大网,高层居民区,华为,是
XINXIANG,12332290,48173,2,大网,低层居民区,华为,是
XINXIANG,12356097,48266,1,大网,低层居民区,华为,是
XINXIANG,12375297,48341,1,大网,低层居民区,华为,是
XINXIANG,27009600,105506,64,大网,低层居民区,华为,是
XINXIANG,33424641,130565,1,大网,低层居民区,华为,是
XINXIANG,60867586,237764,2,大网,低层居民区,华为,是
XINXIANG,60873218,237786,2,大网,低层居民区,华为,是
XINXIANG,63841024,249379,0,大网,低层居民区,华为,是
XINXIANG,63883264,249544,0,大网,低层居民区,华为,是
XINXIANG,63899136,249606,0,大网,低层居民区,华为,是
XINXIANG,64009472,250037,0,大网,低层居民区,华为,是
XINXIANG,64014848,250058,0,大网,高层居民区,华为,是
XINXIANG,64054784,250214,0,大网,低层居民区,华为,是
XINXIANG,64060417,250236,1,大网,低层居民区,华为,是
XINXIANG,64092928,250363,0,大网,低层居民区,华为,是
XINXIANG,67196034,262484,130,大网,低层居民区,华为,是
XINXIANG,67204481,262517,129,大网,低层居民区,华为,是
XINXIANG,67209346,262536,130,大网,低层居民区,华为,是
XINXIANG,67239040,262652,128,大网,低层居民区,华为,是
XINXIANG,67279492,262810,132,大网,高层居民区,华为,是
XINXIANG,193362562,755322,130,大网,低层居民区,华为,是
XINXIANG,193362816,755323,128,大网,低层居民区,华为,是
XINXIANG,193381251,755395,131,大网,低层居民区,华为,是
XINXIANG,235160962,918597,130,大网,低层居民区,华为,是
XINXIANG,235166848,918620,128,大网,低层居民区,华为,是
XINXIANG,235166850,918620,130,大网,低层居民区,华为,是
XINXIANG,235233924,918882,132,大网,低层居民区,华为,是
XINXIANG,235320192,919219,128,大网,高层居民区,华为,是
XINXIANG,235320193,919219,129,大网,高层居民区,华为,是
